,country_year,Forest_Cover(sq KMs)
89,IQ_2003,8222.000122070309
90,IS_2003,334.199981689453
91,IL_2003,1541.99996948242
92,IT_2003,86030.0
93,JM_2003,3398.80004882813
94,JO_2003,975.0
95,JP_2003,249114.00390625
96,KZ_2003,33481.9995117188
97,KE_2003,38510.0
98,KG_2003,8649.00024414063
99,KH_2003,110570.0
100,KI_2003,121.499996185303
101,KN_2003,110.0
102,KR_2003,62682.001953125
103,KW_2003,52.6999998092651
104,LA_2003,167322.20703125
105,LB_2003,1343.0000305175802
106,LR_2003,45390.0
107,LY_2003,2170.0
108,LC_2003,210.20000457763697
109,LI_2003,69.0000009536743
110,LK_2003,21476.0009765625
111,LS_2003,425.999984741211
112,LT_2003,20806.0009765625
113,LU_2003,866.999969482422
114,LV_2003,32746.0009765625
115,MF_2003,10.0
116,MA_2003,52377.998046875
117,MD_2003,3473.99993896484
118,MG_2003,129120.0
119,MV_2003,10.0
120,MX_2003,673922.03125
121,MH_2003,126.400003433228
122,MK_2003,9682.000122070309
123,ML_2003,56630.0
124,MT_2003,3.49999994039536
125,MM_2003,339398.0078125
126,ME_2003,6260.0
127,MN_2003,114715.99609375
128,MP_2003,314.699993133545
129,MZ_2003,405226.015625
130,MR_2003,2870.0
131,MU_2003,396.800003051758
132,MW_2003,34680.0
133,MY_2003,211704.00390625
135,NC_2003,8390.0
136,NE_2003,12908.0004882813
137,NG_2003,119082.001953125
138,NI_2003,36040.0
139,NL_2003,3630.0
140,NO_2003,121004.00390625
141,NP_2003,37416.0009765625
142,NR_2003,0.0
143,NZ_2003,101654.00390625
144,OM_2003,20.0
145,PK_2003,19875.9997558594
146,PA_2003,48160.0
147,PE_2003,757756.015625
148,PH_2003,70552.001953125
149,PW_2003,400.200004577637
150,PG_2003,335916.015625
151,PL_2003,91435.99609375
152,PR_2003,4577.60009765625
153,KP_2003,65526.0009765625
154,PT_2003,33148.0004882813
155,PY_2003,188321.9921875
156,PS_2003,91.3000011444092
157,PF_2003,1200.0
158,QA_2003,0.0
159,RO_2003,63810.0
160,RU_2003,8089813.75
161,RW_2003,3686.00006103516
162,SA_2003,9770.0
163,SD_2003,199075.99609375
164,SN_2003,87630.0
165,SG_2003,163.500003814697
166,SB_2003,22518.000488281297
167,SL_2003,28631.999511718797
